topic,method,video_id,output_type,file,size_mb,frames,fps,duration_sec,width,height,psnr_to_original,ssim_to_original,mae_to_original,temporal_mad,input_temporal_mad,temporal_ratio,alpha_mean,alpha_std,sampled_frames
colourisation,local_exemplar,4651944-uhd_3840_2160_30fps,video,outputs\colourisation\local_exemplar\4651944-uhd_3840_2160_30fps\4651944-uhd_3840_2160_30fps_colour_local_exemplar.mp4,3.0022,120,24.0,5.0,768,432,28.1193,0.9635,6.1448,11.9058,11.8453,1.0051,,,120
colourisation,local_exemplar,7125865-uhd_2160_3840_24fps,video,outputs\colourisation\local_exemplar\7125865-uhd_2160_3840_24fps\7125865-uhd_2160_3840_24fps_colour_local_exemplar.mp4,3.4779,120,24.0,5.0,432,768,34.8614,0.9772,2.8782,4.6703,4.6405,1.0064,,,120
colourisation,local_exemplar,8724242-uhd_4096_2160_25fps,video,outputs\colourisation\local_exemplar\8724242-uhd_4096_2160_25fps\8724242-uhd_4096_2160_25fps_colour_local_exemplar.mp4,0.9736,120,24.0,5.0,768,404,41.0946,0.9945,1.3315,3.3274,3.3322,0.9986,,,120
colourisation,opencv_zhang,4651944-uhd_3840_2160_30fps,video,outputs\colourisation\opencv_zhang\4651944-uhd_3840_2160_30fps\4651944-uhd_3840_2160_30fps_opencv_zhang_colourisation.mp4,3.0467,120,24.0,5.0,768,432,22.3384,0.9644,14.4981,11.9058,11.8453,1.0051,,,120
colourisation,opencv_zhang,7125865-uhd_2160_3840_24fps,video,outputs\colourisation\opencv_zhang\7125865-uhd_2160_3840_24fps\7125865-uhd_2160_3840_24fps_opencv_zhang_colourisation.mp4,3.5465,120,24.0,5.0,432,768,24.0309,0.9775,10.3075,4.7061,4.6405,1.0141,,,120
colourisation,opencv_zhang,8724242-uhd_4096_2160_25fps,video,outputs\colourisation\opencv_zhang\8724242-uhd_4096_2160_25fps\8724242-uhd_4096_2160_25fps_opencv_zhang_colourisation.mp4,1.3686,120,24.0,5.0,768,404,22.0368,0.9926,15.828,3.7101,3.3322,1.1134,,,120
editing,controlnet_canny,4651944-uhd_3840_2160_30fps,video,outputs\editing\controlnet_canny\4651944-uhd_3840_2160_30fps\4651944-uhd_3840_2160_30fps_controlnet_canny.mp4,8.2167,120,24.0,5.0,768,432,9.778,0.3923,69.8081,53.4762,11.8453,4.5146,,,120
editing,controlnet_canny,7125865-uhd_2160_3840_24fps,video,outputs\editing\controlnet_canny\7125865-uhd_2160_3840_24fps\7125865-uhd_2160_3840_24fps_controlnet_canny.mp4,9.8064,120,24.0,5.0,432,768,9.6933,0.3099,69.1852,59.791,4.6405,12.8847,,,120
editing,controlnet_canny,8724242-uhd_4096_2160_25fps,video,outputs\editing\controlnet_canny\8724242-uhd_4096_2160_25fps\8724242-uhd_4096_2160_25fps_controlnet_canny.mp4,6.5822,120,24.0,5.0,768,400,11.0142,0.4891,60.4589,71.5466,3.3322,21.4712,,,120
editing,controlnet_canny_soft_v1,4651944-uhd_3840_2160_30fps,video,outputs\editing\controlnet_canny_soft_v1\4651944-uhd_3840_2160_30fps\4651944-uhd_3840_2160_30fps_controlnet_canny.mp4,9.3282,120,24.0,5.0,768,432,10.7598,0.3843,62.824,42.9941,11.8453,3.6296,,,120
editing,controlnet_canny_soft_v1,7125865-uhd_2160_3840_24fps,video,outputs\editing\controlnet_canny_soft_v1\7125865-uhd_2160_3840_24fps\7125865-uhd_2160_3840_24fps_controlnet_canny.mp4,9.9171,120,24.0,5.0,432,768,9.4214,0.3103,71.8761,51.3658,4.6405,11.0691,,,120
editing,controlnet_canny_soft_v1,8724242-uhd_4096_2160_25fps,video,outputs\editing\controlnet_canny_soft_v1\8724242-uhd_4096_2160_25fps\8724242-uhd_4096_2160_25fps_controlnet_canny.mp4,7.477,120,24.0,5.0,768,400,12.5961,0.5091,50.1545,53.9815,3.3322,16.1999,,,120
editing,instructpix2pix,4651944-uhd_3840_2160_30fps,video,outputs\editing\instructpix2pix\4651944-uhd_3840_2160_30fps\4651944-uhd_3840_2160_30fps_instructpix2pix.mp4,4.1375,120,24.0,5.0,768,432,26.7438,0.8332,10.0235,14.4804,11.8453,1.2225,,,120
editing,instructpix2pix,7125865-uhd_2160_3840_24fps,video,outputs\editing\instructpix2pix\7125865-uhd_2160_3840_24fps\7125865-uhd_2160_3840_24fps_instructpix2pix.mp4,5.5404,120,24.0,5.0,432,768,23.0365,0.7933,12.5985,6.6648,4.6405,1.4362,,,120
editing,instructpix2pix,8724242-uhd_4096_2160_25fps,video,outputs\editing\instructpix2pix\8724242-uhd_4096_2160_25fps\8724242-uhd_4096_2160_25fps_instructpix2pix.mp4,1.8163,120,24.0,5.0,768,400,17.8298,0.8801,24.2471,8.1641,3.3322,2.45,,,120
editing,instructpix2pix_soft_v1,4651944-uhd_3840_2160_30fps,video,outputs\editing\instructpix2pix_soft_v1\4651944-uhd_3840_2160_30fps\4651944-uhd_3840_2160_30fps_instructpix2pix.mp4,7.7309,120,24.0,5.0,768,432,22.219,0.6023,14.0943,23.8853,11.8453,2.0164,,,120
editing,instructpix2pix_soft_v1,7125865-uhd_2160_3840_24fps,video,outputs\editing\instructpix2pix_soft_v1\7125865-uhd_2160_3840_24fps\7125865-uhd_2160_3840_24fps_instructpix2pix.mp4,9.7716,120,24.0,5.0,432,768,19.0392,0.5939,17.6342,20.148,4.6405,4.3418,,,120
editing,instructpix2pix_soft_v1,8724242-uhd_4096_2160_25fps,video,outputs\editing\instructpix2pix_soft_v1\8724242-uhd_4096_2160_25fps\8724242-uhd_4096_2160_25fps_instructpix2pix.mp4,2.6925,120,24.0,5.0,768,400,26.927,0.8847,6.5021,6.9976,3.3322,2.1,,,120
matting,background_matting_v2,4651944-uhd_3840_2160_30fps,alpha,outputs\matting\background_matting_v2\4651944-uhd_3840_2160_30fps\4651944-uhd_3840_2160_30fps_background_matting_v2_alpha.mp4,0.3505,120,24.0,5.0,768,432,,,,5.1549,11.8453,0.4352,0.0341,0.0826,
matting,background_matting_v2,4651944-uhd_3840_2160_30fps,composition,outputs\matting\background_matting_v2\4651944-uhd_3840_2160_30fps\4651944-uhd_3840_2160_30fps_background_matting_v2_composition.mp4,0.4928,120,24.0,5.0,768,432,17.8516,0.6719,20.2602,1.8059,11.8453,0.1525,,,120
matting,background_matting_v2,7125865-uhd_2160_3840_24fps,alpha,outputs\matting\background_matting_v2\7125865-uhd_2160_3840_24fps\7125865-uhd_2160_3840_24fps_background_matting_v2_alpha.mp4,0.3477,120,24.0,5.0,432,768,,,,1.6598,4.6405,0.3577,0.0476,0.1258,
matting,background_matting_v2,7125865-uhd_2160_3840_24fps,composition,outputs\matting\background_matting_v2\7125865-uhd_2160_3840_24fps\7125865-uhd_2160_3840_24fps_background_matting_v2_composition.mp4,0.6956,120,24.0,5.0,432,768,17.4709,0.5566,18.933,0.9071,4.6405,0.1955,,,120
matting,background_matting_v2,8724242-uhd_4096_2160_25fps,alpha,outputs\matting\background_matting_v2\8724242-uhd_4096_2160_25fps\8724242-uhd_4096_2160_25fps_background_matting_v2_alpha.mp4,0.607,120,24.0,5.0,768,404,,,,4.8168,3.3322,1.4455,0.1152,0.25,
matting,background_matting_v2,8724242-uhd_4096_2160_25fps,composition,outputs\matting\background_matting_v2\8724242-uhd_4096_2160_25fps\8724242-uhd_4096_2160_25fps_background_matting_v2_composition.mp4,0.7478,120,24.0,5.0,768,404,31.1249,0.9349,3.2333,2.3171,3.3322,0.6954,,,120
matting,rvm,4651944-uhd_3840_2160_30fps,alpha,outputs\matting\rvm\4651944-uhd_3840_2160_30fps\4651944-uhd_3840_2160_30fps_rvm_alpha.mp4,0.1035,120,24.0,5.0,768,432,,,,0.6015,11.8453,0.0508,0.0045,0.0284,
